builder, ships built,QID
"Hall, Russell & Company, Limited",803,Q1571257
A. HALL & Co.,757,Q4719050
John Lewis & Sons,346,Q1700840
DUTHIE,327,
DUTHIE TORRY,174,Q90155277
HOOD,88,
NICOL REID,45,
STEPHEN,25,
RENNIE,24,
ADAMSON,23,
DUFFUS,23,
HUMPHREY,20,
DUTHIE MONTROSE,14,
Walter Hood and Co,14,Q90138624
GEORGE LEVIE,12,
"David Burns, Aberdeen",8,
"John Smith, Shipbuilder",8,
"James Thornton, Aberdeen",6,
R & P Mathieson,5,
Burns,3,
Alexander Anderson (Shipbuilder),3,
John Ronald & Co.,3,
BOWMAN VERNON,3,
George Milne and Company,3,
Thomas Wright,3,
ABERDEEN CONCRETE SHIP,3,
ROBERT & PETER MATHIESON,3,
Unknown,2,
Brands & Scorgie,2,
John Duthie Torry Shipbuilding Co.,2,Q90155277
John Duthie and Sons and Company,2,Q90154854
"James Alexander, shipbuilder",2,
Alexander Hall and Company,2,
D. Burns & Co.,2,
John Smith,2,
Alexander Hall,1,Q4719050
Wood Group,1,
Blaikie Brothers,1,
ANDREW RENNIE,1,
Ogilvie & Co.,1,
JOHN MATTHEW,1,
Alexander Duthie and Company,1,Q90154432
DUTHIE (MONTROSE?),1,
JAMES GREIG,1,
John Duffus,1,
Alexander Leslie,1,
George P Milne,1,
Aberdeen White Star Line (George Thompson & Co),1,
Alex Hall & Co,1,Q4719050
Alexander Scorgie,1,
Leckie,1,
William Duthie Jnr. & Co.,1,Q90155273
John Vernon,1,
Alex Anderson (Shipbuilder),1,
William Simpson & Company,1,
John Reid & Co.,1,